Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate
13.370325	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1709.285978082389	0.26480137887968946	9.343717937500013	1.8125	0.0	0.0	0.0	0.0	
13.470446	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	0.0013600026806643445	-0.03707428879847929	9.512612712500015	1.7	0.0	0.0	0.0	0.0	
13.570297	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	0.002202392400777334	0.04620190637451179	9.685312262500009	1.5125	0.0	0.0	0.0	0.0	
13.671365	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	0.0015054756042179934	0.003456865498395715	9.857445650000006	1.8625	0.0	0.0	0.0	0.0	
13.769965	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	0.006948869418120804	0.12658301909772607	10.025034550000006	1.675	0.0	0.0	0.0	0.0	
13.981613	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	0.006921804688157335	0.11585418413678858	10.331611662500006	1.325	0.0	0.0	0.0	0.0	
14.081944	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	0.008532156120983772	-0.013913629200265001	10.4940558875	1.6375	0.0	0.0	0.0	0.0	
14.183473	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-2.841796646164302E-4	0.058974328947056426	10.671011612499997	1.875	0.0	0.0	0.0	0.0	
14.284932	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.0011942312096380936	0.1451456065698243	10.8503965375	1.6625	0.0	0.0	0.0	0.0	
14.383785	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.014685999096427661	-0.15304788575718464	11.020956387500004	1.8875	0.0	0.0	0.0	0.0	
14.483797	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.024564625533094044	0.009587628333217144	11.192149562500003	1.8625	0.0	0.0	0.0	0.0	
14.584427	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.03822216489090986	-0.20618116365897038	11.36202325	1.8625	0.0	0.0	0.0	0.0	
14.684324	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.05300965672470053	-0.20243458637102393	11.526108287499996	2.025	0.0	0.0	0.0	0.0	
14.784534	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.04649382298599524	0.10035697808210108	11.707905962499991	1.9625	0.0	0.0	0.0	0.0	
14.882902	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.05120308599963894	-0.07896783483642572	11.869418649999993	1.75	0.0	0.0	0.0	0.0	
14.98593	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.05692051020442188	0.048756390889020715	12.046147749999998	1.575	0.0	0.0	0.0	0.0	
15.084367	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.0501340291660819	0.030023504449288578	12.217393462499992	1.725	0.0	0.0	0.0	0.0	
15.184193	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.057093047857939	-0.035711897057407856	12.390051649999993	1.65	0.0	0.0	0.0	0.0	
15.311174	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.07104829924535298	-0.3483808016333007	12.610722599999994	1.7625	0.0	0.0	0.0	0.0	
15.411317	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.07942145007780137	-0.007271969462541786	12.776700812499996	1.825	0.0	0.0	0.0	0.0	
15.511241	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.0782001541381998	0.017080782909110002	12.944147549999997	1.7875	0.0	0.0	0.0	0.0	
15.611601	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.08249329692865517	0.06851107113455643	13.106650600000002	1.8875	0.0	0.0	0.0	0.0	
15.71244	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.07446860449448645	0.05386535991803858	13.284158287500004	1.775	0.0	0.0	0.0	0.0	
15.81226	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.09215878861685922	-0.005909577721470357	13.456661200000005	1.85	0.0	0.0	0.0	0.0	
15.912047	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.08963500254776569	-0.03077322699602393	13.629638862500006	1.8875	0.0	0.0	0.0	0.0	
16.011942	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.08148851882876136	-0.15883805065673823	13.797465675000002	1.75	0.0	0.0	0.0	0.0	
16.111633	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.08369091122953869	0.09933518427629752	13.972074637500004	1.4875	0.0	0.0	0.0	0.0	
16.212321	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.06415694237840455	0.15979131778634215	14.1346154125	1.9125	0.0	0.0	0.0	0.0	
16.311969	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.060983602790187746	0.1408881323789761	14.304532575000005	1.875	0.0	0.0	0.0	0.0	
16.411631	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.0548331429059893	0.1398663385731725	14.480533437499998	1.8375	0.0	0.0	0.0	0.0	
16.512365	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.05688667929196754	-0.1705886794234793	14.650541850000003	1.7	0.0	0.0	0.0	0.0	
16.612503	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.06009723288388412	-0.026686051772809645	14.8216490875	1.6625	0.0	0.0	0.0	0.0	
16.714207	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.06090579169154276	0.1141511944604493	14.992599012500003	1.8875	0.0	0.0	0.0	0.0	
16.812876	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.059396932996079344	0.16047251365687787	15.153414037500005	1.8375	0.0	0.0	0.0	0.0	
16.914789	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.05161244004033642	0.09286382350620823	15.337168750000005	1.7125	0.0	0.0	0.0	0.0	
17.012858	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.06698520665958711	-0.21163073062325607	15.491321012500007	1.475	0.0	0.0	0.0	0.0	
17.11347	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.06690401246969671	0.19385111131312788	15.670606700000008	1.6125	0.0	0.0	0.0	0.0	
17.215142	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.07103138378912581	-0.1729728649703543	15.845503700000013	1.7125	0.0	0.0	0.0	0.0	
17.316556	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.05968787884318663	0.04398801979527072	16.02009285000001	1.65	0.0	0.0	0.0	0.0	
17.415031	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.048269945889847926	0.10052727704973502	16.199230450000005	2.0	0.0	0.0	0.0	0.0	
17.51502	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.04627053896379661	0.046542504309779645	16.371386200000014	1.8	0.0	0.0	0.0	0.0	
17.615265	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.051399305291874094	0.0019241747896903577	16.541226462500024	1.5875	0.0	0.0	0.0	0.0	
17.715109	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.04912248488369722	0.14173962721714572	16.705090450000032	1.8625	0.0	0.0	0.0	0.0	
17.816156	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.038333806902009174	-0.052912092788434645	16.88148321250004	1.7875	0.0	0.0	0.0	0.0	
17.915028	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.04612168294899754	0.026787824064243928	17.051938162500054	1.5625	0.0	0.0	0.0	0.0	
18.015689	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.0492713408984963	-0.025664257967006072	17.227880837500056	1.875	0.0	0.0	0.0	0.0	
18.114949	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.051433136204328433	-0.009996752944684642	17.40452432500005	1.5875	0.0	0.0	0.0	0.0	
18.215035	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.05045542283439809	-0.031965319769461424	17.56807353750005	1.8	0.0	0.0	0.0	0.0	
18.314661	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.04301938827693484	0.20321755453299395	17.741837825000047	1.7375	0.0	0.0	0.0	0.0	
18.415308	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.037082063141198704	0.026276927161342147	9.465411284426718E-4	2.0875	0.0	0.0	0.0	0.0	
18.51525	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.041496997216489674	-0.0030144952716935707	0.013018936387894697	1.975	0.0	0.0	0.0	0.0	
18.614863	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.0533073687542987	-0.06347062878173822	0.013563969432363949	1.775	0.0	0.0	0.0	0.0	
18.715648	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.05703891839801206	0.09575890595598499	0.02109958112081579	1.85	0.0	0.0	0.0	0.0	
18.815692	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.047979000042740624	0.17086075068254747	0.020307781490908186	1.9	0.0	0.0	0.0	0.0	
18.916314	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.058053845771642174	-0.07062318542236322	0.02348035137042124	1.7625	0.0	0.0	0.0	0.0	
19.015816	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.05753961590233625	0.14497530760219038	0.02214248692359338	1.575	0.0	0.0	0.0	0.0	
19.116412	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.0548331429059893	-0.09344324708530966	0.026532283564885604	1.6	0.0	0.0	0.0	0.0	
19.216364	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.04769143728687877	0.07838841125732429	0.024018054871173096	1.675	0.0	0.0	0.0	0.0	
19.434272	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.08919181759461386	-0.11541181391008642	0.02345714141446138	1.5125	0.0	0.0	0.0	0.0	
19.441304	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.0910322192321298	-0.09259175224714	0.04118603403118238	1.85	0.0	0.0	0.0	0.0	
19.539222	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.09793710846405997	0.07787751435442251	0.04956957688526919	1.4375	0.0	0.0	0.0	0.0	
19.639117	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.0970676540139835	0.03870875179861893	0.04610464649634019	1.8375	0.0	0.0	0.0	0.0	
19.738863	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.09044356135542435	0.21564937917027072	0.046370196556420024	1.7625	0.0	0.0	0.0	0.0	
19.839632	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.09468934086844362	0.12947810154750286	0.04984575181895319	1.6875	0.0	0.0	0.0	0.0	
19.94033	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.08879261282765272	-0.060575546331961425	0.046013526212396294	1.75	0.0	0.0	0.0	0.0	
20.040053	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.08713828120863562	-0.03911787641008643	0.04139883498864243	1.8625	0.0	0.0	0.0	0.0	
20.139826	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.08868773699904425	0.06987346287562786	0.042848692371523306	1.6375	0.0	0.0	0.0	0.0	
