Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate 	 Lift Voltage 	 Lift Current 	 Lift Position 	 Lift Rate
713.07081	0.08867187500000001	0.08867187500000001	0.08867187500000001	-0.08867187500000001	-0.08867187500000001	-0.08867187500000001	0.625	1.75	0.5	0.125	0.875	0.5	124.27403400789936	0.12080549227054135	0.0	0.0	904.9420470518471	0.0	1268.939538267375	NaN	0.0	0.875	0.0	0.0
713.170417	0.08867187500000001	0.08867187500000001	0.08867187500000001	-0.08867187500000001	-0.08867187500000001	-0.08867187500000001	0.625	1.75	0.625	0.125	0.875	0.5	124.28586467798463	0.11569652324152349	0.0	0.0	904.9420470518471	0.0	1268.939538267375	0.0	0.0	0.875	0.0	0.0
713.270971	0.08867187500000001	0.08867187500000001	0.08867187500000001	-0.08867187500000001	-0.08867187500000001	-0.08867187500000001	0.625	1.75	0.75	0.125	0.875	0.5	124.29806410501568	0.12370057472031815	0.0	0.0	904.9420470518471	0.0	1268.939538267375	0.0	0.0	0.875	0.0	0.0
713.37139	0.08867187500000001	0.08867187500000001	0.08867187500000001	-1.5074218750000001	-1.5074218750000001	-1.5074218750000001	0.625	1.75	0.5	0.125	0.875	0.5	124.31008761130194	0.12489266749375563	0.0	0.0	904.9420470518471	0.0	1268.939538267375	NaN	0.0	0.875	0.0	0.0
713.47113	0.08828125	0.08828125	0.08828125	-3.7960937500000003	-3.7960937500000003	-3.7960937500000003	0.625	1.75	0.625	0.25	0.875	0.625	124.32182355483238	0.11978369846473777	0.0	0.0	904.8415160869323	-0.016755160819145565	1268.939538267375	NaN	0.0	0.875	0.0	0.0
713.571541	0.08359375	0.08359375	0.08359375	-3.6781249999999996	-3.6781249999999996	-3.6781249999999996	0.625	1.75	0.75	4.125	5.375	4.25	124.33419551951692	0.12284907988214849	0.0	0.0	904.4645249685015	-0.08377580409572782	1268.6882108550878	NaN	0.0	0.875	0.0	0.0
713.671273	0.08203125	0.08203125	0.08203125	-4.7578125	-4.7578125	-4.7578125	0.625	1.875	0.75	4.375	4.25	4.375	124.34617166252575	0.12012429640000565	0.0	0.0	903.8110736965548	-0.19268434942017398	1268.3740515897289	-0.09317921067790136	0.0	0.875	0.0	0.0
713.771943	0.081640625	0.081640625	0.081640625	-5.06171875	-5.06171875	-5.06171875	0.625	2.0	0.75	5.75	5.25	4.5	124.35822561663322	0.12216788401161278	0.0	0.0	902.6549676000337	-0.3834609330045047	1267.9467949888406	-0.11831195190661972	0.0	0.875	0.0	0.0
713.871321	-1.0236220472440944	-1.0236220472440944	-1.0236220472440944	-5.3125	-5.3125	-5.3125	0.625	1.75	1.0	6.25	6.25	6.625	124.37004613744477	0.12216788401161278	0.0	0.0	900.8705429727947	-0.6796380181914212	1267.5195383879525	NaN	0.0	0.875	0.0	0.0
713.972151	-1.1188976377952755	-1.1188976377952755	-1.1188976377952755	-5.3921875	-5.3921875	-5.3921875	0.75	1.875	1.0	7.375	8.25	7.5	124.38181252879639	0.11876190465893419	0.0	0.0	898.6085962622101	-1.0361413904720531	1267.2179454932077	NaN	0.0	0.875	0.0	0.0
714.0716	-1.5259842519685038	-1.5259842519685038	-1.5259842519685038	-5.6578124999999995	-5.6578124999999995	-5.6578124999999995	0.75	2.625	1.125	7.0	7.5	6.875	124.3930646902787	0.11348263666228242	0.0	0.0	896.1078885099527	-1.3922308688910658	1266.9917508221492	NaN	0.0	0.875	0.0	0.0
714.171124	-2.392125984251969	-2.392125984251969	-2.392125984251969	-5.8187500000000005	-5.8187500000000005	-5.8187500000000005	0.75	2.375	2.0	7.75	7.0	7.0	124.4047262058017	0.11484502840335385	0.0	0.0	893.2427560098788	-1.7608444069122684	1266.9540517103062	NaN	0.0	0.875	0.0	0.0
714.391107	-2.431496062992126	-2.431496062992126	-2.431496062992126	-5.7296875	-5.7296875	-5.7296875	1.0	3.375	2.25	8.0	7.75	6.5	124.43037342053336	0.11603712117679135	0.0	0.0	886.2809866895237	-2.099378585569127	1267.0420163046067	NaN	0.0	0.875	0.0	0.0
714.49434	-2.456692913385827	-2.456692913385827	-2.456692913385827	-6.09375	-6.09375	-6.09375	2.125	4.125	3.375	7.0	6.5	6.25	124.44408508935109	0.1163777191120592	0.0	0.0	882.8001020293462	-2.3644180520914553	1267.1676800107502	NaN	0.0	0.875	0.0	0.0
