Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate
12.961119	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	7.941423799999995	1.5375	0.0	0.0	0.0	0.0	
13.05766	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	8.093854674999994	1.575	0.0	0.0	0.0	0.0	
13.154589	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	8.246008812499994	1.3875	0.0	0.0	0.0	0.0	
13.253404	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	8.402664299999994	1.5	0.0	0.0	0.0	0.0	
13.35692	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	8.574313274999998	1.8875	0.0	0.0	0.0	0.0	
13.451841	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	8.7228624375	1.525	0.0	0.0	0.0	0.0	
13.552467	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	8.88080095	1.525	0.0	0.0	0.0	0.0	
13.650465	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	9.030525487499997	1.6625	0.0	0.0	0.0	0.0	
13.821957	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	9.2965535875	1.425	0.0	0.0	0.0	0.0	
13.909762	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	9.435032350000004	1.65	0.0	0.0	0.0	0.0	
14.014518	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	9.601236250000001	1.5375	0.0	0.0	0.0	0.0	
14.125638	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	9.783505987499998	1.825	0.0	0.0	0.0	0.0	
14.205706	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.0	0.25	N/A	N/A	9.904657662499993	1.7875	0.0	0.0	0.0	0.0	
14.305805	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	10.060876387499993	1.5875	0.0	0.0	0.0	0.0	
14.439443	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	10.28659258749999	1.6125	0.0	0.0	0.0	0.0	
14.537312	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	10.44354158749999	1.6875	0.0	0.0	0.0	0.0	
14.633835	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	10.59817894999999	1.5	0.0	0.0	0.0	0.0	
14.714585	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	10.728482612499992	1.65	0.0	0.0	0.0	0.0	
14.835383	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	10.910991649999994	1.6125	0.0	0.0	0.0	0.0	
14.914393	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	11.036566762499994	1.35	0.0	0.0	0.0	0.0	
15.011913	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	11.19095399999999	1.5625	0.0	0.0	0.0	0.0	
15.119847	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	11.367943499999996	1.4875	0.0	0.0	0.0	0.0	
15.212521	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	11.516499837499994	1.6375	0.0	0.0	0.0	0.0	
15.320458	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	11.686680199999998	1.5375	0.0	0.0	0.0	0.0	
15.413558	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	11.837344624999997	1.5	0.0	0.0	0.0	0.0	
15.527652	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	12.018469699999994	1.5125	0.0	0.0	0.0	0.0	
15.611044	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	12.148171899999996	1.525	0.0	0.0	0.0	0.0	
15.717784	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	12.317182212499993	1.6	0.0	0.0	0.0	0.0	
15.822853	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	12.482313249999992	1.6125	0.0	0.0	0.0	0.0	
15.908337	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	12.61527346249999	1.5125	0.0	0.0	0.0	0.0	
16.061394	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	12.868107112499995	1.775	0.0	0.0	0.0	0.0	
16.133533	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	12.976276562499997	1.7125	0.0	0.0	0.0	0.0	
16.234006	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	13.131568274999998	1.6625	0.0	0.0	0.0	0.0	
16.333703	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	13.297856674999997	1.6875	0.0	0.0	0.0	0.0	
