Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate
10.627615	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	783.1905186509321	0.026565963161339384	4.702786962500008	1.5625	0.0	0.0	0.0	0.0	
10.728211	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	817.2431758209509	-0.06471428349044633	4.875223700000004	1.825	0.0	0.0	0.0	0.0	
10.828271	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	851.2889484002853	0.08242402454526795	5.049843675000001	1.725	0.0	0.0	0.0	0.0	
10.927132	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	885.3420216905273	0.011239056074285814	5.224186075000003	1.6125	0.0	0.0	0.0	0.0	
11.02666	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	919.3856629223772	-0.08259567509200884	5.391364800000004	1.7625	0.0	0.0	0.0	0.0	
11.127612	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	953.4263710141172	-0.16876695271477668	5.565130500000003	1.5625	0.0	0.0	0.0	0.0	
11.228437	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	987.4643591004958	-0.14901227246924098	5.741083737500002	1.925	0.0	0.0	0.0	0.0	
11.328946	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1021.5112278013937	0.1261908592271876	5.917677362500001	1.9875	0.0	0.0	0.0	0.0	
11.42879	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1055.559889540652	-0.021117747776160618	6.092843399999999	1.625	0.0	0.0	0.0	0.0	
11.528818	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1089.6143938784908	0.017199519941473312	6.262064012499999	1.6875	0.0	0.0	0.0	0.0	
